,Name,Comments,Likes,Replies,Published
1436,Michael Yanes,"This might be Marvel's best trailer ever. I've watched it at least 10 times and it's goosebumps every time.  The music, the visuals, the emotion, Namor, Atlantis, it's going to be epic.",327, 15 replies,1 day ago
1437,Visions by Linda Lee,"What an amazing, emotional trailer.  I can’t stop playing it. Would love to have the audio version of it on iTunes.",71,1 reply,1 day ago
1438,Onyeka,"Man, I can’t wait. I’m sobbing watching this. Rest In Peace, Chadwick. Wakanda Forever.",30,0 reply,1 day ago
1439,Andy,I'm glad they're letting Danai embrace another role and aren't making any hints or references to her role as Michonne on TWD. She's a great actress and these movies are probably the best in the Marvel lineup right now,175, 5 replies,1 day ago
1440,Supreme Taco,im actually pretty hype for this movie and to see what she'll bring to the table,25,0 reply,1 day ago
1441,UrMomPart4,"I'm so ready for another 'end of movie' experience. When ""All The Stars"" started playing at the end of the first one I got goosebumps. I know Kendrick will bless our ears once again",9,0 reply,1 day ago
1442,Neil West,I have watched this trailer at least 50 times. It's the best trailer for a movie I've ever seen. Wakanda forever!,11,0 reply,1 day ago
1443,Mara Albay,"Apart from No Way Home, this is actually one of two phase 4 trailers that got me legitimately excited and gave me goosebumps. The trailer alone already deserves a chef's kiss. Wow.",99, 5 replies,1 day ago
1444,TAI LANI,"I watched this this morning repeatedly, and now I am back from work…watching it… repeatedly.",19,0 reply,1 day ago
1445,Rae Rae,"this movie will be beautiful, not only will this become a tribute for chadwick boseman, but it makes history introducing the first Latino super hero",21, 2 replies,1 day ago
1446,jst4bella,"Ryan Coogler...You are an ARTIST! (also the music editing in this trailer is almost unmatched, bravo) 
Thank you to everyone involved in this project for allowing us a glimpse into a front-row seat in what would be for lack of better words...the biggest celebration of life and loss in cinematic history...WAKANDA FOREVER!",6,0 reply,1 day ago
1447,Donjo69,probably what I'm most excited about is the soundtrack. Especially because of how good the first one was,4,0 reply,1 day ago
1448,TheBatfan4,"Looking good Marvel. Im interested in how it will play out crowning our new Black Panther. I have faith in the cast for this movie, they play their characters perfect.",3,0 reply,1 day ago
1449,wiLL wicK,"The transition from No Woman, No Cry to Alright was Perfect ",9,0 reply,1 day ago
1450,Evan Dennis,"“In this great future, you can’t for get your past” a beautiful line with so much meaning too it!",41, 2 replies,1 day ago
1451,Rome,"Its such an honor for Black Panther to be the open door for great actors that were trying to break through of Latin background.  
We as blacks have been fighting for a long time for our space in all this and it feels wholesome to share that space and doorway with others I know in my heart Ryan had alot to do with this! Its for culture! ",6,1 reply,1 day ago
1452,Jasmine Smith,I cannot wait. This trailer looks sooo good ,3,0 reply,1 day ago
1453,Gennie,This is the first time I've ever teared up during a trailer. We are ready...bring all the feels...,0,0 reply,1 day ago
1454,Orrgroup,I dig the military aspect and am very excited to see where it goes,1,0 reply,1 day ago
1455,Roy Jones,This movie will live on forever in our hearts and bring back many memories of the real Black Panther. R.I.P Chadwick Boseman!,0,0 reply,1 day ago
1456,Carmen V,stunning,0,0 reply,6 hours ago
1457,Araash Mehta,"Why isn’t there are an African, as opposed to an African-American, to direct a Marvel film that is based in Africa? They will know much better about local culture, emotions, and background!",3, 2 replies,15 hours ago
1458,T AND D FAMILY,Hell yeah i was wonder where is the black panther,0,0 reply,10 hours ago
1459,Chris Tyson,"This trailer had me in tears. And I hope this film does a good job in paying tribute to Chadwick Boseman. Keep the work up, Feige",1,1 reply,3 hours ago
1460,Mickeya Moore,I see an Oscar in Ms. Bassets future! Well deserved! When I say this woman makes me emotional every 911 episode. Her acting gives me chills! Very very wise choice to put her in the forefront!!!,0,0 reply,19 hours ago
1461,Undergrounder 102,"Bring back kill monger, that’s the only character I care to be the black panther",0,0 reply,9 hours ago
1462,Soni Kumari,I think ironheart is connected to this movie because Suri is cutting metal into a heart shape.,0,1 reply,9 hours ago
1463,DAL-X,I wonder if Kdot doing the music again?,0,0 reply,11 hours ago
1464,Marvel Fan 123,Wish Chadwick was still with us. Rest in power king!!!,0,0 reply,23 hours ago (edited)
1465,Azee Aziz,IRONHEART ️ 3000,1,0 reply,1 hour ago
1466,Kanad Chakraborty,I like to see Namor teaming up with Avengers,1,0 reply,21 hours ago
1467,grandma kitty loves you,,0,0 reply,7 hours ago
1468,CAMØYEMÎ,"I’m so happy they are emphasizing Wakanda as much as they are. Never forget Black Panther won Oscars for Production Design, Costume Design and Music, as well as a Screen Actors Guild for the Outstanding Performance of the Entire Cast. The World of Wakanda (and it’s many amazing characters) nabbed those trophies. I’m so excited to visit and spend time with them again (even if it’s a time of deep sorrow and mourning for their irreplaceable King).",531, 9 replies,3 days ago
1469,Nathan Lee,May the goat rest in piece,0,1 reply,8 hours ago
1470,Muhammad Syed,By far the best trailer Marvel has ever released...and the build-up from “No Woman No Cry” to “Alright” is straight up ,1,1 reply,12 hours ago
1471,Subramaniam B B,Did I just see a collab of mcu and avatar universe?!,0,0 reply,9 hours ago
1472,Raul Torres,"Making Shuri The New Black Panther is the dumbest decision ever, more having so many warriors to choose from. I know she was in the comics but we need a Main not a Backup",0,1 reply,1 day ago (edited)
1473,Afro Turtle,Rip Chadwick Boseman,0,0 reply,33 minutes ago
1474,Mikey☠️Bones,For Our Real King Chadwick Boseman…!!!,0,0 reply,14 hours ago
1475,Sydwonda,I can’t lie I got emotional watching this man… Rest in Heaven Chadwick ,2,0 reply,1 day ago
1476,David,Rest In Peace Chadwick. I have a feeling this sequel will be amazing everything about this trailer made me feel chills I can’t even explain.,0,0 reply,1 day ago
1477,J A,Love this so much. Brought tears to my eyes 🥹🥹,0,0 reply,1 day ago
1478,Elise Erickson,This has got to be the greatest trailer of all time,2,0 reply,1 day ago
1479,sleazyslytherin,"Maaaaann, if this trailer got me in tears, I already know the movie's gonna wreck me. I can't wait!",1,0 reply,1 day ago
1480,Mickael Mc,Can I admit here that the first movie was just... ok? and so far this one looks much better than ok.,4,0 reply,1 day ago
1481,~JíŔø~,I love the fact that everyone is calling this TEASER a trailer. It really shows how powerful and beautiful it truly is.,1, 2 replies,1 day ago (edited)
1482,Srikanth Thakkolam,This teaser is everything what our hero deserves.... Gave End Game vibes! MCU 🫡,0,0 reply,1 day ago
1483,E Cobb,EPIC Lets make this another Billion dollar blockbuster!!! Wakanda forever,0,0 reply,1 day ago
1484,A R P i T,Goosebumps ,1,0 reply,1 day ago
1485,Kompalya Thunderbird,YES!!!  I can't wait!!  WAKANDA FOREVER!,2,0 reply,1 day ago
1486,Miss Marie L,Immediate chills ,1,0 reply,1 day ago
1487,CarbolicSoap,I keep coming back to this daily. Wakanda FOREVER ️,0,0 reply,1 day ago
1488,Xaroc,I can't wait. Such an amazing trailer too.  tip of the hat to the editors.,0,0 reply,1 day ago
1489,Teri Thom,I don't think I have ever cried during a trailer before. Can't wait for this!,4,0 reply,1 day ago
1490,U.N.V Me,Wakanda Forever for real.... Chadwick Boseman you will always be a legend and you will always be loved,0,0 reply,1 day ago
1491,DeChanel Brown,Goosebumps... I'm ready ,0,0 reply,1 day ago
1492,enrique mendoza,"Que trailer de verdad. Pelos de punta. Chadwick, donde sea que estés, gracias, gracias por poner de manifiesto a mi cultura, a la cultura negra, por mostrarnos que también podemos ser héroes, que podemos ser lo que queramos. No veo la hora de ver esta gran película!!",24, 2 replies,1 day ago
1493,Schyzeno,"Hearing Kendrick on this gave me gooooosebumps, rest in peace to Chadwick who didn’t everything in his power to make sure we gon be alright.",0,0 reply,1 day ago
1494,Phriffo,This can just never feel the same without T'challa (Chadwick Boseman) let's just use this opportunity to pay our final respects to him,1,0 reply,1 day ago
1495,Chubby Swagg,I pray it’s a fitting sequel! ,1,0 reply,1 day ago
1496,ItzJunior,Definitely watching this . Made me shed tears . Definitely watching this for my sisters bday on the 11 November. Rip chad ️ you’ll always be remembered,1,0 reply,1 day ago
1497,TPG_miles,This trailer had me in tears the trailer of it was gold can’t wait to see that movie,0,0 reply,1 day ago
1498,Nic P,This is going to set a new standard for trailers and teasers....continue to pave the way black panther,0,0 reply,1 day ago
1499,Jwingman,"As sad as it is, how amazing is it that Chadwick is Immortalized by such a wonderful character? I don’t know about his family, but I would find great closure in knowing that his spirit lives on through Black Panther.",0,0 reply,1 day ago
1500,Imprint Jones,The most important trailer on the comicon panel. Thank you Chadwick for all you gave ,0,0 reply,1 day ago
1501,Theyenvy B brizzy,"We can’t wait for this movie to come, rip the actor who originally played black panther for our generation ",1,0 reply,1 day ago
1502,Diego Lopez,"Amazing trailer, love the hype",0,0 reply,1 day ago
1503,Aruna Turay,I dont why i just keep coming back to this trailer And never get tired of watching it,0,0 reply,1 day ago
1504,Autumn Green,My heart is so full can’t wait,1,0 reply,1 day ago
1505,Mnnk,"Chadwick Boseman would be proud, Rip my friend, your legacy with always be one click always, Wakanda Forever",2,0 reply,1 day ago
1506,Kalihi Hammer,Soundtrack gonna bang again. Long live the King. Wakanda Forever ,1,0 reply,1 day ago
1507,XxBlade8808,"You may be gone, but not forgotten Chadwick Boseman. Wakanda Forever",1,0 reply,1 day ago
1508,Charlie Smith,Mark my words…..this will be BEST movie picture of all time.,1,0 reply,1 day ago
1509,610Vatorspeed,Seeing her carrying the black panther helmet next to the queen straight chills. You know there going to acknowledge our black panther Chadwick,0,0 reply,1 day ago
1510,Sylvester Harding,"The song combination is priceless . 

I'm sold, WAKANDA FOREVER",1,0 reply,1 day ago
1511,Thomas Cozad,"This is about to be such a beautiful movie I can’t wait, not to mention I’ve been waiting for manor ever since they teased him in iron man 2",0,0 reply,1 day ago
1512,DOUBLECW,"After watching this several times, watching some reactions, and reading lots of comments, I haven't seen anyone mention or take note that Angela Basset's quick speech stands out even more because they are the only lines from the movie.  There are lots of beautiful and exceptional visuals and of course the excellent No Woman, No Cry song, but no other actual dialogue from characters in the movie.",0, 2 replies,1 day ago
1513,Moon1ight2,The editing in this trailer is probably the best in the whole mcu,0,0 reply,1 day ago
1514,DavonDepp,I’m 1000% sure I’ll be sitting in the theater crying,1,0 reply,1 day ago
1515,"Tyler Neff, Realtor","It definitely has an entire different feel from this trailer, especially with no Chadwick. But I am still excited to see the Black Panther story continue. Rest In Peace, and Wakanda Forever!",60, 2 replies,4 days ago
1516,DigitalCrate,"The colours,the cinematography,the cgi,the music,the directing everything is amazing.",54, 4 replies,4 days ago
1517,Mylla Sunaya,I got literal goosebumps watching this teaser,0,0 reply,1 day ago
1518,Rocks D Xebec,"""In Wakanda  , we know how to party""🇿🇦🇿🇦",0,0 reply,1 day ago
1519,W464,This trailer alone deserve a Oscar!!!,1,0 reply,1 day ago
1520,NICK,I honestly thought the first movie was very bad but this acc looks good. I’m quite excited to see this,0,0 reply,1 day ago
1521,Tyree JONES,Best marvel trailer so far. So much hype and anticipation,0,0 reply,1 day ago
1522,MarloSoBalJr (MJofLakeland1 Gaming),"Well, we either get alternative timeline of Wakandan warrior arcs OR just end the story with this movie.
I'm all for it",0,0 reply,1 day ago
1523,Luis Miranda,"I think “the money shot” is actually a flashback to Namors land getting attacked by some sort of evil group from Wakanda, that sets up that shot of a kid namor watching his land get burned and gives him the purpose to attack wakanda and possibly confronting the queen of wakanda hence the “My entire family is Gone haven’t given everything” the shot seems to be in Wakanda, which will probably end up in Wakanda being submerged.",0,0 reply,1 day ago
1524,Cameron Hetzler,This is the type of trailer that carries the pre-Endgame swag of Marvel. This is what they should be aiming for!,0,0 reply,1 day ago
1525,Jeffrey Walton,I think that was the best movie trailer ever produced. So hype to see this movie now.,0,0 reply,1 day ago
1526,ss_nopi,this teaser is so beautiful ,1,0 reply,1 day ago
1527,Junior Arellano,The music was really well chosen ,1,1 reply,1 day ago
1528,WHITNEY HILLAIRE,So excited and proud of this drama️️️,0,0 reply,1 day ago
1529,King Baako,"Indeed you have given enough, my tears can't just stop flowing, from  Chad wick bossman tribute song, when I saw his picture on social media I always cried, may his soul rest in perfect peace ️ ️ ️",0,0 reply,1 day ago
1530,Courtney Simone,This is his Grand send off. Thank you Marvel and the cast for this gift.,0,0 reply,1 day ago
1531,raul marino,WAKANDA FOR EVER “Chadwick Boseman” Dios te tenga en el mejor de los lugares & que está movie  te haga el homenaje que siempre te mereciste ,263,0 reply,3 days ago
1532,London King,Still crying after about 20 watches ,0,0 reply,1 day ago
1533,OfficialDagnino,Don’t feel the same without him ,0,0 reply,1 day ago
1534,D I S K O R I,Now that is how you do a trailer. So many epic shots shown but still no part of the story ruined. Wakanda forever,0,0 reply,1 day ago
1535,wfyreSu,"chills, chills, CHILLS every time I watch this",1,0 reply,1 day ago
1536,𝓧𝓛𝓺𝓬𝓴𝓼,So excited <33,2,0 reply,1 day ago
1537,SUKANYA PURTELL,I love this trailer!!! But I also feel like the water/ocean does feel like Avatar just a little bit tho!,0,0 reply,1 day ago
1538,Deniz Sağlam,"excellent quality and subject, definitely worth watching",1,0 reply,1 day ago
1539,lavica forever,"""My entire family is gone""
wait does this mean Shuri is gonna die?",4,0 reply,1 day ago
1540,daisys_are_daisys,I still wonder how this will pull of without our Man Chadwick. May he rest in peace. I know that I'll love this.,1,0 reply,1 day ago
1541,Antonio Farthing Jr,"Dope!Dope!Dope!Dope!
Glad to see my Afro-Latinos bros & sisters getting huge reveal. There's going to be plenty of spin-offs from this.
MCU hitting hard!",0,0 reply,1 day ago
1542,Mr. Cloak Of Dagger,Bingewatching with tears in my eyes and the black panther lives .,0,0 reply,1 day ago
1543,Antenucci,Rip Chadwick Boseman  gone but never forgotten ,0,0 reply,1 day ago
1544,Justin White,Anyone else get goosebumps during that transition from No Woman No Cry to Alright?,0,0 reply,1 day ago
1545,Roland Ramirez,Song says “no cry” but I’ll definitely be crying when I watch this ,0,0 reply,1 day ago
1546,4EVERTEJ7 Gaming,"Goosebumps! 
R.I.P. King ",0,0 reply,1 day ago
1547,SojournHonduras1,Looking forward to this epic!,1,0 reply,1 day ago (edited)
1548,Ahsan Majid,Miss chadwick boseman so much rest in peace cant wait to see the movie,1,0 reply,1 day ago
1549,GEORGE FRANCIS,"""PURE...PURE AWESOMENESS"" ",0,0 reply,1 day ago
1550,Abu Rukevwe,I had goosebumps watching this,0,0 reply,1 day ago
1551,Struggle Gaming,"Rest In Power king, we will never forget.",0,0 reply,1 day ago
1552,Mr IMMERSIVE,This trailer is so perfect,0,0 reply,1 day ago
1553,Vedant Gajarmal,"Chadwick may not be here with us but he has imprinted himself and black panther in hearts which will never fade. His legacy may carried forward 
R.I.P Sir Chadwick Boseman",0,0 reply,1 day ago
1554,STORIES TO SAVOR,"Ooooohhhh weeeeee.. More chills on this trailer than in the Windy City of Chicago! Wow! May the emotions be with all of us. Chad-Bose, forever you'll be missed, brotha!",0,0 reply,1 day ago
1555,AE-J Mikhail Labao,"This is for him, this is for Chadwick! ",0,0 reply,1 day ago
1556,PrimeTimeTVxxx,this is most beautiful thing ive ever seen ,0,0 reply,1 day ago
1557,TikTok Edits,Omg I’m so excite for this ,1,0 reply,1 day ago
1558,Cherry Noire,5 secs im & I already know it’s gonna be amazing,0,0 reply,1 day ago
1559,orfeas8,Got me hyped. This seems gud ,0,0 reply,1 day ago
1560,Brooklyn Made JC,"Killing T’Challa in the Marvel world DOES NOT honor Chadwick Boseman. This movie is such an insult to him. 
No way this movie will make over a billion dollars again without Black Panther.",2,0 reply,1 day ago
1561,The King,I really hope they bring back white wolf. I want to see him help the nation that helped him when he needed it.,0,1 reply,1 day ago
1562,Danny 2568,This trailer is EPIC!,0,0 reply,1 day ago (edited)
1563,Brady Summers,This was amazing,1,0 reply,1 day ago
1564,Shihabudheen Thumbithodi,Wooa.. what a brilliant making ,0,0 reply,1 day ago
1565,micheal shelton,Rest well Chadwick! We love you brother!,0,0 reply,1 day ago
1566,jef,This is beautiful,1,0 reply,1 day ago
1567,mikeruck2888,Can't wait to see Ironheart!,0,0 reply,1 day ago
1568,Elsa Amora Serenity,CHILLS LITERAL CHILLS EVERYTIME I WATCH THIS,0,0 reply,1 day ago
1569,J MAND,Oh chill….Literal chills,2,0 reply,1 day ago
1570,Animenut,So they bring back killmonglar  would make sense. And i love how they are bringing ironheart hell yeah and doctir doom!! This is going to be a god movie.,0,0 reply,1 day ago (edited)
1571,Planet Dee,So I have not seen it mentioned so far so I will say it.  Namor!  This will be epic.  A war of Wakanda vs Atlantis.,0,0 reply,1 day ago
1572,Aquarian231990,I got the chills,1,0 reply,1 day ago
1573,Andjee Izidor,Always leave us breathless.,1,0 reply,1 day ago
1574,UseTheName,It’s honestly so sad that the recast t’challa crowed couldn’t get enough traction to get it done. He’s such an important character that Disney is just going to burry now.,1,0 reply,1 day ago
1575,Spencer Jepson,"Come on, Marvel.  The trailer shouldn't make me cry.  Maybe the movie, but not the trailer.  This looks pretty amazing.",0,0 reply,1 day ago
1576,taty1,Amazing ,0,0 reply,1 day ago
1577,Prophet,"Angela Bassett making me tear up in record time, holy moly",0,0 reply,1 day ago
1578,Lexa Rose,I hope there is an extended cut of this song,1,0 reply,1 day ago
1579,Lexx Lars,Pure Sci-fi fiction at its best,0,0 reply,1 day ago
1580,Sam Phan,safe to say i’ve visited this video 10+ times a day since its release,0,0 reply,1 day ago
1581,Marco V,Queen: I am queen of the most powerful nation in the world...Namor: Hold my sea-beer.,0,0 reply,1 day ago
1582,Latia webster,Chadwick Boseman is smiling  Can’t wait to see!,0,0 reply,1 day ago
1583,Jamie,shuri and tchala were my favourite sibling im gonna sob my eyes out in the theatre ////,0,0 reply,1 day ago
1584,NICKNACKNICOLE,Cant wait...beautiful song selection....RiP Chadwick Boseman ,0,0 reply,1 day ago
1585,Some Guy,I can’t even watch the first Black Panther movie anymore. It just feels me with so much sorrow.,0,0 reply,1 day ago
1586,andrew bañuelos,thank you ryan coogler for the indigenous pre hispanic representation much love brother ️🇬🇹🇲🇽,2,0 reply,1 day ago
1587,Caleb Skolnik,Starts off with a song written by someone who lost their battle with cancer at a young age; and the movies’ main actor also lost his battle to cancer at a young age. Very interesting parallel. RIP Chadwick Boseman and Bob Marley. Wakanda Forever!,0,0 reply,1 day ago
1588,Zion Lamar,Chad family doesn't appreciate y'all mentioning him let him rest in peace he is more than a movie ,1,0 reply,1 day ago
1589,Avery The Rockgod,"Dang crazy, that Mr Nimbus is now entering the MCU ",0,0 reply,1 day ago
1590,Storm Thomas,Has someone isolated the track from this yet? I really want to bump this!,0,0 reply,1 day ago
1591,Nyle Khorb,And they said MARVEL is Quantity > Quality..... boi right here is QUALITY... MARVEL doesn't slack with both and will never will.,2,0 reply,1 day ago
1592,Tahir Irhat,"WAKANDA FOREVER ️️️
REST IN PEACE CHADWICK BOSEMAN And BOB MARLEY WE LOVE YOU ️",0,0 reply,1 day ago
1593,OnlyOnePiece,the power of meme made an entire movie out of it   \X/ Wakanda Foreva,0,0 reply,1 day ago
1594,Jelraclix,"Such mixed feelings right now. I like the first Black Panther movie, but  I have seen too many Marvel movies now. There is a part of me that even if the movie is good, I am not going to enjoy as much as I would had it not been attached to the MCU. 

This was a good teaser though and seeing the heart getting smacked out of the metal panel was also exciting as a comic fan. Just done with the shows and movies.",0,0 reply,1 day ago
1595,Artemis A-24,This trailer is so full of heart and so emotional! The music and the camerawork is elegant!!,294,1 reply,4 days ago
1596,Weez,Wow this trailer gave me the chills! This feels like it’s gonna be the movie of the year! Wakanda Forever ,120,1 reply,3 days ago
1597,Raymond Chidawanyika,"Literally cried watching this, by the look of this trailer Marvel has again outdid it self and set the bar higher again. R.I.P Chadwick Boseman, even from beyond your legacy lives on. WAKANDA FOREVER",439, 6 replies,3 days ago
1598,Dean Creole,"Not gonna lie, I shed a tear.",0,0 reply,1 day ago
1599,Zion Lamar,It looks decent I need to see more of the Atlantians,1,1 reply,1 day ago
1600,Greg Wadley,Yo this Avatar sequel looking lit!,1,0 reply,1 day ago (edited)
1601,Brew Blaker,I sure hope M’baku is the new BP!!!,0,0 reply,1 day ago
1602,Chisom Xcel,TEMS's voice is so beautiful ,1,0 reply,1 day ago
1603,John Drummond,This trailer/teaser looks sensational. I really want to see how Namor the Submariner and the Atlanteans fit in with Wakanda. Allies? Enemies? Both? And Daniel Craig still looking very Bond-ish!,0, 2 replies,1 day ago
1604,ashvanee prabhudial,Not gonna lie I shed tears watching that Wakanda forever trailer when Angela Bassett says “ I am queen of the most powerful nation in the world & my entire family is gone! Have I not given everything?” & they cut to that mural of Chadwick I broke.…… it comes out of my birthday I gotta see it.,0,0 reply,1 day ago
1605,Chastity,It's giving better than the original. Excited to see it.,0,0 reply,1 day ago
1606,PJ,This movie looks STUNNING. You can just tell how much love and care was put into it. This is the only upcoming MCU project I have 100% faith in. I trust Coogler to make a worthy and respectful sequel.,392, 5 replies,3 days ago
1607,The Bruh Man,Now this is hype,0,0 reply,1 day ago
1608,WAU,Thank you for showing us that last part,1,0 reply,1 day ago
1609,Girl_bye 🙄😂,"I’m African 🇨🇮🇩🇴
And to all my BLACK folks let’s say WAKANDA FOREVER  
Rip Chadwick  ",1,0 reply,1 day ago
1610,Thomas Thomas,"Not going to lie, wish Chadwick Boseman was still here, but this looks awesome! I'm sure he'll stop in for a matinee at some point.",0,1 reply,1 day ago
1611,bre m,"I never cried tears of joy and sadness watching a trailer until today! 
RIP Chadwick !",56,1 reply,3 days ago
1612,maya,GAVE ME CHILLLSSS,0,0 reply,1 day ago
1613,Abdul Ahmed,The song transition is everything,0,0 reply,1 day ago
1614,Larkin McElwee,"Is anyone talking about the boy being saved by Okoye at 1:41. There is a rumor T'Challa fathered a son with Nakia after Black Panther.  Since that film took place in 2016 and this sequel could be in 2025, the kid with Okoye could be T'Challa's son.  If that's the case, I'm fine with a temporary Black Panther in Wakanda Forever.  I just want an heir of T'Challa to take over the Black Panther mantle in the future.",0,0 reply,1 day ago
1615,Pat Williams,Fantastic ,0,0 reply,1 day ago
1616,Jake_09YT,Rest In Peace Chadwick.,0,0 reply,1 day ago (edited)
1617,Jed Robinson,Literal chills,0,0 reply,1 day ago
1618,What If Sage,Literal chills,0,0 reply,1 day ago
1619,Gaame Dick,Whoelse here had to watch again and again. EPIC,1,0 reply,1 day ago
1620,TurboAza McContreras,In this House we stand by Tenoch Huerta and Mabel Cadena for life!!!! IMPERUS REX!,0,0 reply,1 day ago
1621,Akhielesh Srirangam,This movie is going to be much bigger and better than anyone will expect. Yay!,0,0 reply,1 day ago
1622,metalore,I just realized something. The queen said her entire family is gone. Shuri's gonna die! Maybe even early trying to use the suit.,0,0 reply,1 day ago
1623,Watching the Dust,This new Avatar looks cool,0,0 reply,1 day ago
1624,winwin's missing lines,"I reckon Nakia or Ramonda as Black Panther, Ramonda seems to be a Queen who would not set back after her son’s death (plus she’s the thumbnail)",0,0 reply,1 day ago
1625,Hichu,RIP the legend,0,0 reply,1 day ago
1626,Joe Clark,I’m hoping this will actually be a good movie because Marvel has been taking all L’s recently.,0,0 reply,1 day ago
1627,Misha Charles,Oh gosh tearsssssss ,0,0 reply,1 day ago
1628,Behan the Scene,"Just when I thought there's no way they're pulling off this movie without Chadwick Bozeman, this trailer brought tears to my eyes. This is one of the most beautiful trailers I've ever seen for a superhero film, let alone any.",125,0 reply,3 days ago
1629,Xxxdeadvoltx,Mr chadwick would be proud️️️️,0,0 reply,1 day ago
1630,meriem,Next level visual madness....I hear u kendrick lamar,0,0 reply,1 day ago (edited)
1631,MLBB × MEMES,I really need a breakdown from Canadian Land from this because my mind when I saw the aquatic scenes be like: WhaAAaat Aquaman?,0,1 reply,1 day ago (edited)
1632,hunnerdayEDT,Got me crying up in here. Wakanda Forever! Rest in Power my King.,271, 6 replies,4 days ago
1633,Stitch Lover,I hope they explain in the best way possible how T'Challa died.,0,0 reply,1 day ago
1634,Jumily De la cruz,I'm crying  the song,0,0 reply,1 day ago
1635,Mark Flynn,Love the positive bot extravaganza!   WWKs!!!,2,0 reply,1 day ago
1636,Andrew Mills,honestly this didn't feel like a movie trailer... it felt more like a documentary trailer,0,0 reply,1 day ago
1637,Tex willer,Its strong to do without Tchala...RIP,0,0 reply,1 day ago
1638,Coconut Pie,best fkn trailer ever.  this is going to be historic.,0,0 reply,1 day ago
1639,Deandre Jones,See ya'll there with your beautiful African prints again this November. :),0,0 reply,1 day ago
1640,Simon F,Namor and everything else in this trailer is absolutely stunning.,162,0 reply,3 days ago
1641,Alexis Spencer,Beautiful trailer. I'm in tears .  Rest in peace Chadwick .,127, 2 replies,4 days ago
1642,[Hashknight Gaming],Chad is the only Black Panther we will never have anyone who can fill his shoes.,0,0 reply,1 day ago
1643,Kelyan Laudat,One word. Chills,0,0 reply,1 day ago
1644,Larita Whittaker,there is not life without Chadwick.,0,0 reply,1 day ago
1645,Evan Michael Beltran,"“Good friends we have, 
good friends we’ve lost”
this lines hits hard..RIP Chad.",170,0 reply,3 days ago
1646,Wilhelmina Beavers,"Half These Comments: They should have recast Black Panther/T'challa! They're doing a deserves to Chadwick's memory by killing the character, especially if it's just so Shuri can take up the mantel! 

Other Half: This was the only good move, the character should be retired to honor Chadwick's amazing ability to bring him to life! Besides, I could never imagine anyone else as Black Panther! Certainly not Shuri.",0,0 reply,1 day ago
1647,El Jeffe,I can already tell that I'm gonna have to bring in an entire box of tissues. MCU movies aren't really known for being overly emotional. This one looks to be one of their best ever.,77, 3 replies,4 days ago
1648,Esther,,0,0 reply,1 day ago
1649,mr.Shgamingguy,Chadwick boseman and technoblade may Rest In Peace.,1,0 reply,1 day ago
1650,Ohioison firee,God is weeping for what we have lost,0,0 reply,1 day ago
1651,Fabio Batista,🇧🇷,0,0 reply,9 hours ago
1652,Anto,Phase 4 is saved!!!,0,0 reply,9 hours ago
1653,Anonymous Productions XD,I’m actually crying right now because the music is already telling me this will honor Chadwick Boseman.,176, 2 replies,4 days ago
1654,WOMAN WITH A PLAN,"Idc, Idc, Idc! I’m knocking over the elderly, children, and service pets to get into the theatre to my seat to see this!!! ️",0,0 reply,1 hour ago
1655,João Alves,Foi mais forte que eu e acabei por deitar lágrimas. É muito emocionante ,12,0 reply,1 day ago
1656,jon doe,"This is my fourth time watching this (first & second times on IG right when it came out, third time on Twitter), & I’m still finding myself shedding so many tears. I wish I could’ve told Chadwick how much his Black Panther portrayal meant to me, but I know he saw how much his influence traveled globally. May he Rest In Peace. & may this movie be a wonderful tribute to his legacy. ",81,1 reply,1 day ago
1657,Dakota Tanner,"GOOSEBUMPS THE ENTIRE TIME 
what a beautiful tribute to Chadwick ",63,0 reply,1 day ago
1658,Screenplay App,"This looks beautiful. Hopefully, we get an amazing story like the first one. In Ryan Coogler we trust!",24, 2 replies,1 day ago
1659,Mr Dogbey,"""Have I not given everything?""

I felt that deep in my bones",21,0 reply,1 day ago
1660,xevious21,The emotions are so high with this. Everyone looks like they're giving 110% especially Angela Bassett.  And no one told me Namor is in this!  Let's go!!,155, 3 replies,1 day ago
1661,Feleti I Manu,"Interesting trailer! I enjoyed it. This one seems to have a lot of plot points to work through and I'm excited to see how they unravel together. The sister, the mother, the lover, the general, and Namor. Definitely going day 1!",5,0 reply,1 day ago
1662,100 subs challenge with no video,This got to be the best trailer I've ever watched. Got legit chills at the end.,16,0 reply,1 day ago
1663,Suresh Mafian,"Oh man... I literally cried when Queen Ramonda says ""Have I not given everything ?""... Long live the King CB... You live in our hearts forever as the Black panther...",5,0 reply,1 day ago
1664,Sameer Ul Haq,"Oh My God. When she says ""Wakanda Forever"", I cried.",9,1 reply,1 day ago
1665,100 subs challenge with no video,It makes me so emotional. Such an masterpiece trailer by marvel.,6,0 reply,1 day ago
1666,vtx,"Beautiful trailer, full of emotion.",5,0 reply,1 day ago
1667,Paul Elicano,"As a marvel fan, this is a momentous time as one of the most underrated character is introduced and it’s none other than Namor the submariner!
As a Chadwick Boseman fan, my sincere condolences to all of us who loved him as an actor!",26,0 reply,1 day ago
1668,Christian Santamaria,So much chills really beautiful trailer you can tell it’s dedicated to chadwick we all love and miss you thank you for being so strong and not letting your illness stop you from doing what you loved and giving us one last gift before you go,2,0 reply,1 day ago
